,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,3.0,4,10,11,21,32,2,4,7,8,17,1.5,10,4,11,31,26,5,1,6,15,12,2
0,3.0,9,5,11,29,43,4,3,5,14,21,0.5,8,6,11,31,43,3,4,5,14,27,1
0,1.0,11,7,7,45,34,7,2,4,22,16,2.0,11,2,13,43,44,6,0,7,24,27,1
0,3.5,13,6,7,40,31,7,3,3,21,15,1.5,7,5,14,27,44,3,2,8,11,22,2
0,2.0,3,8,15,20,55,2,4,7,9,32,3.5,15,4,6,44,27,9,3,1,25,11,2
0,1.0,10,6,8,37,27,5,3,4,17,13,2.5,12,4,8,37,33,8,2,2,20,13,2
0,1.0,3,2,20,15,41,2,1,9,9,18,4.0,9,7,10,27,33,4,3,6,12,19,2
0,2.0,5,11,10,26,33,1,7,5,12,17,4.5,12,7,6,41,25,6,3,4,18,14,2
0,2.5,12,4,8,37,33,4,2,6,17,20,2.0,3,8,15,20,55,1,4,8,11,23,1
0,2.0,11,2,13,43,44,5,2,6,19,17,3.0,4,10,11,21,32,2,6,4,13,15,1
0,3.5,14,7,4,53,32,6,3,4,28,19,3.0,9,5,11,29,43,5,2,6,15,22,2
0,1.5,10,4,11,31,26,5,3,5,16,14,3.5,13,6,7,40,31,6,3,4,19,16,1
0,0.5,8,6,11,31,43,5,2,6,17,16,1.0,10,6,8,37,27,5,3,4,20,14,2
0,1.5,7,5,14,27,44,4,3,6,16,22,2.0,5,11,10,26,33,4,4,5,14,16,2
0,4.5,12,7,6,41,25,6,4,2,23,11,1.0,11,7,7,45,34,4,5,3,23,18,2
0,3.5,15,4,6,44,27,6,1,5,19,16,2.5,7,7,11,18,30,3,3,6,8,16,1
0,2.5,12,3,9,38,26,5,1,5,20,16,1.0,3,2,20,15,41,1,1,11,6,23,1
0,4.0,9,7,10,27,33,5,4,4,15,14,5.0,19,5,2,52,16,9,3,1,25,8,2
0,2.0,5,11,10,26,33,1,7,5,12,17,3.5,14,7,4,53,32,8,4,0,25,13,2
0,3.0,9,5,11,29,43,4,3,5,14,21,2.5,12,4,8,37,33,8,2,2,20,13,2
0,2.0,3,8,15,20,55,2,4,7,9,32,4.5,12,7,6,41,25,6,3,4,18,14,0
0,2.5,7,7,11,18,30,4,4,5,10,14,0.5,8,6,11,31,43,3,4,5,14,27,2
0,1.0,3,2,20,15,41,2,1,9,9,18,2.0,11,2,13,43,44,6,0,7,24,27,2
0,1.0,10,6,8,37,27,5,3,4,17,13,1.5,7,5,14,27,44,3,2,8,11,22,0
0,5.0,19,5,2,52,16,10,2,1,27,8,3.5,15,4,6,44,27,9,3,1,25,11,2
0,3.5,13,6,7,40,31,7,3,3,21,15,4.0,9,7,10,27,33,4,3,6,12,19,1
0,3.0,4,10,11,21,32,2,4,7,8,17,2.5,12,3,9,38,26,7,2,4,18,10,2
0,1.0,11,7,7,45,34,7,2,4,22,16,1.5,10,4,11,31,26,5,1,6,15,12,1
0,4.5,12,7,6,41,25,6,4,2,23,11,3.0,9,5,11,29,43,5,2,6,15,22,1
0,2.5,12,4,8,37,33,4,2,6,17,20,2.0,5,11,10,26,33,4,4,5,14,16,1
0,2.0,11,2,13,43,44,5,2,6,19,17,5.0,19,5,2,52,16,9,3,1,25,8,0
0,1.5,7,5,14,27,44,4,3,6,16,22,2.5,7,7,11,18,30,3,3,6,8,16,1
0,3.5,15,4,6,44,27,6,1,5,19,16,3.5,13,6,7,40,31,6,3,4,19,16,2
0,0.5,8,6,11,31,43,5,2,6,17,16,2.0,3,8,15,20,55,1,4,8,11,23,1
0,4.0,9,7,10,27,33,5,4,4,15,14,3.0,4,10,11,21,32,2,6,4,13,15,1
0,1.5,10,4,11,31,26,5,3,5,16,14,1.0,3,2,20,15,41,1,1,11,6,23,1
0,3.5,14,7,4,53,32,6,3,4,28,19,1.0,10,6,8,37,27,5,3,4,20,14,2
0,2.5,12,3,9,38,26,5,1,5,20,16,1.0,11,7,7,45,34,4,5,3,23,18,1
0,2.5,12,4,8,37,33,4,2,6,17,20,1.0,11,7,7,45,34,4,5,3,23,18,0
0,4.5,12,7,6,41,25,6,4,2,23,11,0.5,8,6,11,31,43,3,4,5,14,27,0
0,5.0,19,5,2,52,16,10,2,1,27,8,1.5,10,4,11,31,26,5,1,6,15,12,1
0,1.5,7,5,14,27,44,4,3,6,16,22,3.5,14,7,4,53,32,8,4,0,25,13,2
0,1.0,3,2,20,15,41,2,1,9,9,18,3.0,4,10,11,21,32,2,6,4,13,15,0
0,3.0,9,5,11,29,43,4,3,5,14,21,2.0,5,11,10,26,33,4,4,5,14,16,0
0,1.0,10,6,8,37,27,5,3,4,17,13,3.5,13,6,7,40,31,6,3,4,19,16,0
0,3.5,15,4,6,44,27,6,1,5,19,16,2.5,12,3,9,38,26,7,2,4,18,10,2
0,2.0,3,8,15,20,55,2,4,7,9,32,2.5,7,7,11,18,30,3,3,6,8,16,0
0,2.0,11,2,13,43,44,5,2,6,19,17,4.0,9,7,10,27,33,4,3,6,12,19,2
0,2.5,12,3,9,38,26,5,1,5,20,16,2.0,11,2,13,43,44,6,0,7,24,27,2
0,3.5,13,6,7,40,31,7,3,3,21,15,5.0,19,5,2,52,16,9,3,1,25,8,0
0,3.0,4,10,11,21,32,2,4,7,8,17,3.0,9,5,11,29,43,5,2,6,15,22,2
0,3.5,14,7,4,53,32,6,3,4,28,19,4.5,12,7,6,41,25,6,3,4,18,14,0
0,1.0,11,7,7,45,34,7,2,4,22,16,1.0,3,2,20,15,41,1,1,11,6,23,1
0,0.5,8,6,11,31,43,5,2,6,17,16,2.5,12,4,8,37,33,8,2,2,20,13,1
0,4.0,9,7,10,27,33,5,4,4,15,14,1.5,7,5,14,27,44,3,2,8,11,22,0
0,1.5,10,4,11,31,26,5,3,5,16,14,3.5,15,4,6,44,27,9,3,1,25,11,2
0,2.0,5,11,10,26,33,1,7,5,12,17,2.0,3,8,15,20,55,1,4,8,11,23,0
0,2.5,7,7,11,18,30,4,4,5,10,14,1.0,10,6,8,37,27,5,3,4,20,14,2
0,4.0,9,7,10,27,33,5,4,4,15,14,3.0,9,5,11,29,43,5,2,6,15,22,1
0,1.0,3,2,20,15,41,2,1,9,9,18,5.0,19,5,2,52,16,9,3,1,25,8,2
0,2.5,7,7,11,18,30,4,4,5,10,14,4.5,12,7,6,41,25,6,3,4,18,14,2
0,1.0,11,7,7,45,34,7,2,4,22,16,3.5,13,6,7,40,31,6,3,4,19,16,1
0,2.5,12,3,9,38,26,5,1,5,20,16,0.5,8,6,11,31,43,3,4,5,14,27,2
0,1.5,7,5,14,27,44,4,3,6,16,22,2.5,12,4,8,37,33,8,2,2,20,13,1
0,3.5,14,7,4,53,32,6,3,4,28,19,1.5,10,4,11,31,26,5,1,6,15,12,2
0,1.0,10,6,8,37,27,5,3,4,17,13,2.0,5,11,10,26,33,4,4,5,14,16,1
0,3.0,4,10,11,21,32,2,4,7,8,17,2.0,3,8,15,20,55,1,4,8,11,23,1
0,2.0,11,2,13,43,44,5,2,6,19,17,3.5,15,4,6,44,27,9,3,1,25,11,2
0,2.0,5,11,10,26,33,1,7,5,12,17,2.5,7,7,11,18,30,3,3,6,8,16,0
0,0.5,8,6,11,31,43,5,2,6,17,16,1.5,7,5,14,27,44,3,2,8,11,22,1
0,2.5,12,4,8,37,33,4,2,6,17,20,3.5,14,7,4,53,32,8,4,0,25,13,2
0,3.0,9,5,11,29,43,4,3,5,14,21,2.0,11,2,13,43,44,6,0,7,24,27,1
0,4.5,12,7,6,41,25,6,4,2,23,11,1.0,3,2,20,15,41,1,1,11,6,23,1
0,3.5,13,6,7,40,31,7,3,3,21,15,3.0,4,10,11,21,32,2,6,4,13,15,1
0,2.0,3,8,15,20,55,2,4,7,9,32,1.0,10,6,8,37,27,5,3,4,20,14,2
0,3.5,15,4,6,44,27,6,1,5,19,16,4.0,9,7,10,27,33,4,3,6,12,19,1
0,5.0,19,5,2,52,16,10,2,1,27,8,1.0,11,7,7,45,34,4,5,3,23,18,0
0,1.5,10,4,11,31,26,5,3,5,16,14,2.5,12,3,9,38,26,7,2,4,18,10,2
0,1.5,7,5,14,27,44,4,3,6,16,22,4.5,12,7,6,41,25,6,3,4,18,14,2
0,2.5,12,3,9,38,26,5,1,5,20,16,2.0,5,11,10,26,33,4,4,5,14,16,2
0,1.0,10,6,8,37,27,5,3,4,17,13,5.0,19,5,2,52,16,9,3,1,25,8,1
0,3.5,14,7,4,53,32,6,3,4,28,19,2.0,3,8,15,20,55,1,4,8,11,23,1
0,3.0,4,10,11,21,32,2,4,7,8,17,2.5,12,4,8,37,33,8,2,2,20,13,2
0,1.0,3,2,20,15,41,2,1,9,9,18,3.5,13,6,7,40,31,6,3,4,19,16,2
0,2.0,11,2,13,43,44,5,2,6,19,17,1.5,10,4,11,31,26,5,1,6,15,12,0
0,1.0,11,7,7,45,34,7,2,4,22,16,3.5,15,4,6,44,27,9,3,1,25,11,1
0,2.5,7,7,11,18,30,4,4,5,10,14,3.0,9,5,11,29,43,5,2,6,15,22,1
0,4.0,9,7,10,27,33,5,4,4,15,14,0.5,8,6,11,31,43,3,4,5,14,27,0
0,3.0,9,5,11,29,43,4,3,5,14,21,1.5,7,5,14,27,44,3,2,8,11,22,2
0,2.0,5,11,10,26,33,1,7,5,12,17,1.0,11,7,7,45,34,4,5,3,23,18,0
0,5.0,19,5,2,52,16,10,2,1,27,8,2.5,7,7,11,18,30,3,3,6,8,16,1
0,2.5,12,4,8,37,33,4,2,6,17,20,2.0,11,2,13,43,44,6,0,7,24,27,2
0,2.0,3,8,15,20,55,2,4,7,9,32,1.0,3,2,20,15,41,1,1,11,6,23,1
0,0.5,8,6,11,31,43,5,2,6,17,16,3.5,14,7,4,53,32,8,4,0,25,13,2
0,4.5,12,7,6,41,25,6,4,2,23,11,1.0,10,6,8,37,27,5,3,4,20,14,0
0,1.5,10,4,11,31,26,5,3,5,16,14,4.0,9,7,10,27,33,4,3,6,12,19,2
0,3.5,15,4,6,44,27,6,1,5,19,16,3.0,4,10,11,21,32,2,6,4,13,15,2
0,3.5,13,6,7,40,31,7,3,3,21,15,2.5,12,3,9,38,26,7,2,4,18,10,1
0,2.5,7,7,11,18,30,4,4,5,10,14,2.5,12,4,8,37,33,8,2,2,20,13,0
0,5.0,19,5,2,52,16,10,2,1,27,8,3.0,4,10,11,21,32,2,6,4,13,15,1
0,3.5,13,6,7,40,31,7,3,3,21,15,3.5,14,7,4,53,32,8,4,0,25,13,2
0,4.5,12,7,6,41,25,6,4,2,23,11,2.0,11,2,13,43,44,6,0,7,24,27,1
0,2.0,3,8,15,20,55,2,4,7,9,32,3.0,9,5,11,29,43,5,2,6,15,22,2
0,1.0,3,2,20,15,41,2,1,9,9,18,3.5,15,4,6,44,27,9,3,1,25,11,2
0,1.0,10,6,8,37,27,5,3,4,17,13,1.5,10,4,11,31,26,5,1,6,15,12,1
0,1.0,11,7,7,45,34,7,2,4,22,16,4.0,9,7,10,27,33,4,3,6,12,19,1
0,2.0,5,11,10,26,33,1,7,5,12,17,0.5,8,6,11,31,43,3,4,5,14,27,2
0,2.0,11,2,13,43,44,5,2,6,19,17,3.5,13,6,7,40,31,6,3,4,19,16,2
0,4.0,9,7,10,27,33,5,4,4,15,14,2.5,12,3,9,38,26,7,2,4,18,10,2
0,1.5,7,5,14,27,44,4,3,6,16,22,2.0,3,8,15,20,55,1,4,8,11,23,1
0,3.5,14,7,4,53,32,6,3,4,28,19,5.0,19,5,2,52,16,9,3,1,25,8,0
0,2.5,12,4,8,37,33,4,2,6,17,20,4.5,12,7,6,41,25,6,3,4,18,14,1
0,0.5,8,6,11,31,43,5,2,6,17,16,1.0,3,2,20,15,41,1,1,11,6,23,1
0,3.0,9,5,11,29,43,4,3,5,14,21,1.0,10,6,8,37,27,5,3,4,20,14,0
0,3.0,4,10,11,21,32,2,4,7,8,17,1.0,11,7,7,45,34,4,5,3,23,18,0
0,3.5,15,4,6,44,27,6,1,5,19,16,2.0,5,11,10,26,33,4,4,5,14,16,1
0,1.5,10,4,11,31,26,5,3,5,16,14,2.5,7,7,11,18,30,3,3,6,8,16,2
0,4.0,9,7,10,27,33,5,4,4,15,14,4.5,12,7,6,41,25,6,3,4,18,14,1
0,5.0,19,5,2,52,16,10,2,1,27,8,2.0,3,8,15,20,55,1,4,8,11,23,0
0,1.5,10,4,11,31,26,5,3,5,16,14,0.5,8,6,11,31,43,3,4,5,14,27,0
0,3.5,15,4,6,44,27,6,1,5,19,16,2.5,12,4,8,37,33,8,2,2,20,13,2
0,2.0,11,2,13,43,44,5,2,6,19,17,1.5,7,5,14,27,44,3,2,8,11,22,1
0,3.0,4,10,11,21,32,2,4,7,8,17,2.0,5,11,10,26,33,4,4,5,14,16,0
0,3.5,13,6,7,40,31,7,3,3,21,15,3.0,9,5,11,29,43,5,2,6,15,22,0
0,1.0,11,7,7,45,34,7,2,4,22,16,1.0,10,6,8,37,27,5,3,4,20,14,1
0,2.5,12,3,9,38,26,5,1,5,20,16,2.5,7,7,11,18,30,3,3,6,8,16,0
0,1.0,3,2,20,15,41,2,1,9,9,18,3.5,14,7,4,53,32,8,4,0,25,13,2
0,3.0,9,5,11,29,43,4,3,5,14,21,1.0,11,7,7,45,34,4,5,3,23,18,2
0,0.5,8,6,11,31,43,5,2,6,17,16,5.0,19,5,2,52,16,9,3,1,25,8,2
0,2.5,12,4,8,37,33,4,2,6,17,20,1.5,10,4,11,31,26,5,1,6,15,12,1
0,1.5,7,5,14,27,44,4,3,6,16,22,3.0,4,10,11,21,32,2,6,4,13,15,0
0,2.0,5,11,10,26,33,1,7,5,12,17,1.0,3,2,20,15,41,1,1,11,6,23,0
0,1.0,10,6,8,37,27,5,3,4,17,13,3.5,15,4,6,44,27,9,3,1,25,11,2
0,3.5,14,7,4,53,32,6,3,4,28,19,2.0,11,2,13,43,44,6,0,7,24,27,1
0,2.0,3,8,15,20,55,2,4,7,9,32,2.5,12,3,9,38,26,7,2,4,18,10,2
0,2.5,7,7,11,18,30,4,4,5,10,14,4.0,9,7,10,27,33,4,3,6,12,19,1
0,4.5,12,7,6,41,25,6,4,2,23,11,3.5,13,6,7,40,31,6,3,4,19,16,1
0,3.5,15,4,6,44,27,6,1,5,19,16,3.5,14,7,4,53,32,8,4,0,25,13,0
0,3.0,4,10,11,21,32,2,4,7,8,17,0.5,8,6,11,31,43,3,4,5,14,27,0
0,2.5,12,3,9,38,26,5,1,5,20,16,3.0,9,5,11,29,43,5,2,6,15,22,1
0,1.5,10,4,11,31,26,5,3,5,16,14,4.5,12,7,6,41,25,6,3,4,18,14,1
0,5.0,19,5,2,52,16,10,2,1,27,8,1.5,7,5,14,27,44,3,2,8,11,22,1
0,1.0,3,2,20,15,41,2,1,9,9,18,2.5,12,4,8,37,33,8,2,2,20,13,2
0,2.0,11,2,13,43,44,5,2,6,19,17,2.5,7,7,11,18,30,3,3,6,8,16,1
0,3.5,13,6,7,40,31,7,3,3,21,15,2.0,5,11,10,26,33,4,4,5,14,16,0
0,1.0,11,7,7,45,34,7,2,4,22,16,2.0,3,8,15,20,55,1,4,8,11,23,0
0,4.0,9,7,10,27,33,5,4,4,15,14,1.0,10,6,8,37,27,5,3,4,20,14,0
0,3.0,9,5,11,29,43,4,3,5,14,21,3.5,15,4,6,44,27,9,3,1,25,11,0
0,4.5,12,7,6,41,25,6,4,2,23,11,2.5,12,3,9,38,26,7,2,4,18,10,0
0,2.0,3,8,15,20,55,2,4,7,9,32,2.0,11,2,13,43,44,6,0,7,24,27,2
0,2.5,7,7,11,18,30,4,4,5,10,14,1.0,3,2,20,15,41,1,1,11,6,23,1
0,0.5,8,6,11,31,43,5,2,6,17,16,3.5,13,6,7,40,31,6,3,4,19,16,0
0,2.0,5,11,10,26,33,1,7,5,12,17,1.5,10,4,11,31,26,5,1,6,15,12,2
0,3.5,14,7,4,53,32,6,3,4,28,19,4.0,9,7,10,27,33,4,3,6,12,19,1
0,1.5,7,5,14,27,44,4,3,6,16,22,1.0,11,7,7,45,34,4,5,3,23,18,0
0,2.5,12,4,8,37,33,4,2,6,17,20,3.5,13,6,7,40,31,6,3,4,19,16,2
0,3.5,14,7,4,53,32,6,3,4,28,19,2.5,12,3,9,38,26,7,2,4,18,10,1
0,1.0,10,6,8,37,27,5,3,4,17,13,2.0,11,2,13,43,44,6,0,7,24,27,1
0,3.0,9,5,11,29,43,4,3,5,14,21,1.0,3,2,20,15,41,1,1,11,6,23,1
0,2.0,5,11,10,26,33,1,7,5,12,17,4.0,9,7,10,27,33,4,3,6,12,19,0
0,2.0,3,8,15,20,55,2,4,7,9,32,1.5,10,4,11,31,26,5,1,6,15,12,2
0,1.5,7,5,14,27,44,4,3,6,16,22,3.5,15,4,6,44,27,9,3,1,25,11,2
0,4.5,12,7,6,41,25,6,4,2,23,11,5.0,19,5,2,52,16,9,3,1,25,8,2
0,0.5,8,6,11,31,43,5,2,6,17,16,1.0,11,7,7,45,34,4,5,3,23,18,1
0,1.0,3,2,20,15,41,2,1,9,9,18,1.5,7,5,14,27,44,3,2,8,11,22,1
0,4.0,9,7,10,27,33,5,4,4,15,14,2.5,12,4,8,37,33,8,2,2,20,13,2
0,2.5,7,7,11,18,30,4,4,5,10,14,3.5,14,7,4,53,32,8,4,0,25,13,2
0,5.0,19,5,2,52,16,10,2,1,27,8,2.0,5,11,10,26,33,4,4,5,14,16,1
0,1.0,10,6,8,37,27,5,3,4,17,13,3.0,4,10,11,21,32,2,6,4,13,15,0
0,1.5,10,4,11,31,26,5,3,5,16,14,3.0,9,5,11,29,43,5,2,6,15,22,0
0,4.0,9,7,10,27,33,5,4,4,15,14,2.0,3,8,15,20,55,1,4,8,11,23,2
0,3.5,13,6,7,40,31,7,3,3,21,15,2.5,7,7,11,18,30,3,3,6,8,16,1
0,2.0,11,2,13,43,44,5,2,6,19,17,2.0,5,11,10,26,33,4,4,5,14,16,2
0,3.0,4,10,11,21,32,2,4,7,8,17,4.5,12,7,6,41,25,6,3,4,18,14,2
0,3.5,15,4,6,44,27,6,1,5,19,16,0.5,8,6,11,31,43,3,4,5,14,27,1
0,1.0,3,2,20,15,41,2,1,9,9,18,1.0,10,6,8,37,27,5,3,4,20,14,2
0,1.0,11,7,7,45,34,7,2,4,22,16,3.5,14,7,4,53,32,8,4,0,25,13,0
0,5.0,19,5,2,52,16,10,2,1,27,8,3.0,9,5,11,29,43,5,2,6,15,22,1
0,1.5,10,4,11,31,26,5,3,5,16,14,1.5,7,5,14,27,44,3,2,8,11,22,1
0,3.5,13,6,7,40,31,7,3,3,21,15,2.0,3,8,15,20,55,1,4,8,11,23,1
0,3.5,15,4,6,44,27,6,1,5,19,16,4.5,12,7,6,41,25,6,3,4,18,14,1
0,5.0,19,5,2,52,16,10,2,1,27,8,2.5,12,3,9,38,26,7,2,4,18,10,1
0,3.0,4,10,11,21,32,2,4,7,8,17,3.5,14,7,4,53,32,8,4,0,25,13,2
0,1.0,11,7,7,45,34,7,2,4,22,16,2.5,7,7,11,18,30,3,3,6,8,16,2
0,2.5,12,3,9,38,26,5,1,5,20,16,1.5,7,5,14,27,44,3,2,8,11,22,1
0,1.5,7,5,14,27,44,4,3,6,16,22,2.0,11,2,13,43,44,6,0,7,24,27,2
0,3.0,9,5,11,29,43,4,3,5,14,21,3.5,13,6,7,40,31,6,3,4,19,16,2
0,2.0,3,8,15,20,55,2,4,7,9,32,5.0,19,5,2,52,16,9,3,1,25,8,2
0,0.5,8,6,11,31,43,5,2,6,17,16,1.5,10,4,11,31,26,5,1,6,15,12,2
0,2.5,7,7,11,18,30,4,4,5,10,14,2.5,12,3,9,38,26,7,2,4,18,10,1
0,4.5,12,7,6,41,25,6,4,2,23,11,4.0,9,7,10,27,33,4,3,6,12,19,0
0,2.0,5,11,10,26,33,1,7,5,12,17,3.0,4,10,11,21,32,2,6,4,13,15,0
0,2.5,12,4,8,37,33,4,2,6,17,20,3.5,15,4,6,44,27,9,3,1,25,11,0
0,3.5,14,7,4,53,32,6,3,4,28,19,1.0,3,2,20,15,41,1,1,11,6,23,2
0,1.0,10,6,8,37,27,5,3,4,17,13,1.0,11,7,7,45,34,4,5,3,23,18,2
0,2.5,12,4,8,37,33,4,2,6,17,20,1.5,7,5,14,27,44,3,2,8,11,22,2
0,5.0,19,5,2,52,16,10,2,1,27,8,1.0,3,2,20,15,41,1,1,11,6,23,1
0,2.0,3,8,15,20,55,2,4,7,9,32,3.0,4,10,11,21,32,2,6,4,13,15,0
0,3.0,9,5,11,29,43,4,3,5,14,21,4.0,9,7,10,27,33,4,3,6,12,19,1
0,1.5,10,4,11,31,26,5,3,5,16,14,3.5,14,7,4,53,32,8,4,0,25,13,0
0,0.5,8,6,11,31,43,5,2,6,17,16,2.5,12,3,9,38,26,7,2,4,18,10,2
0,4.5,12,7,6,41,25,6,4,2,23,11,2.5,7,7,11,18,30,3,3,6,8,16,1
0,3.5,15,4,6,44,27,6,1,5,19,16,2.0,11,2,13,43,44,6,0,7,24,27,2
0,3.5,13,6,7,40,31,7,3,3,21,15,1.0,11,7,7,45,34,4,5,3,23,18,2
0,2.0,5,11,10,26,33,1,7,5,12,17,1.0,10,6,8,37,27,5,3,4,20,14,1
0,4.0,9,7,10,27,33,5,4,4,15,14,1.5,10,4,11,31,26,5,1,6,15,12,1
0,1.0,3,2,20,15,41,2,1,9,9,18,2.0,3,8,15,20,55,1,4,8,11,23,1
0,3.5,14,7,4,53,32,6,3,4,28,19,0.5,8,6,11,31,43,3,4,5,14,27,1
0,1.5,7,5,14,27,44,4,3,6,16,22,3.0,9,5,11,29,43,5,2,6,15,22,2
0,3.0,4,10,11,21,32,2,4,7,8,17,3.5,15,4,6,44,27,9,3,1,25,11,2
0,2.5,7,7,11,18,30,4,4,5,10,14,5.0,19,5,2,52,16,9,3,1,25,8,2
0,2.0,11,2,13,43,44,5,2,6,19,17,2.5,12,4,8,37,33,8,2,2,20,13,2
0,2.5,12,3,9,38,26,5,1,5,20,16,3.5,13,6,7,40,31,6,3,4,19,16,2
0,1.0,11,7,7,45,34,7,2,4,22,16,2.0,5,11,10,26,33,4,4,5,14,16,2
0,1.0,10,6,8,37,27,5,3,4,17,13,4.5,12,7,6,41,25,6,3,4,18,14,2
0,2.5,12,3,9,38,26,5,1,5,20,16,1.5,10,4,11,31,26,5,1,6,15,12,1
0,1.5,7,5,14,27,44,4,3,6,16,22,0.5,8,6,11,31,43,3,4,5,14,27,1
0,2.5,7,7,11,18,30,4,4,5,10,14,2.0,5,11,10,26,33,4,4,5,14,16,0
0,3.0,4,10,11,21,32,2,4,7,8,17,3.5,13,6,7,40,31,6,3,4,19,16,0
0,3.5,14,7,4,53,32,6,3,4,28,19,2.5,12,4,8,37,33,8,2,2,20,13,0
0,1.0,10,6,8,37,27,5,3,4,17,13,2.0,3,8,15,20,55,1,4,8,11,23,1
0,4.0,9,7,10,27,33,5,4,4,15,14,3.5,15,4,6,44,27,9,3,1,25,11,0
0,1.0,11,7,7,45,34,7,2,4,22,16,5.0,19,5,2,52,16,9,3,1,25,8,2
0,1.0,3,2,20,15,41,2,1,9,9,18,4.5,12,7,6,41,25,6,3,4,18,14,2
0,2.0,11,2,13,43,44,5,2,6,19,17,3.0,9,5,11,29,43,5,2,6,15,22,1
0,3.5,15,4,6,44,27,6,1,5,19,16,1.0,11,7,7,45,34,4,5,3,23,18,1
0,3.0,9,5,11,29,43,4,3,5,14,21,2.5,7,7,11,18,30,3,3,6,8,16,2
0,5.0,19,5,2,52,16,10,2,1,27,8,1.0,10,6,8,37,27,5,3,4,20,14,1
0,2.0,5,11,10,26,33,1,7,5,12,17,2.5,12,3,9,38,26,7,2,4,18,10,0
0,0.5,8,6,11,31,43,5,2,6,17,16,4.0,9,7,10,27,33,4,3,6,12,19,2
0,2.0,3,8,15,20,55,2,4,7,9,32,3.5,14,7,4,53,32,8,4,0,25,13,0
0,1.5,10,4,11,31,26,5,3,5,16,14,2.0,11,2,13,43,44,6,0,7,24,27,1
0,2.5,12,4,8,37,33,4,2,6,17,20,3.0,4,10,11,21,32,2,6,4,13,15,2
0,3.5,13,6,7,40,31,7,3,3,21,15,1.0,3,2,20,15,41,1,1,11,6,23,1
0,4.5,12,7,6,41,25,6,4,2,23,11,1.5,7,5,14,27,44,3,2,8,11,22,1
0,2.5,7,7,11,18,30,4,4,5,10,14,3.0,4,10,11,21,32,2,6,4,13,15,0
